Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
great,2.043992,806.6489,1199.045607,1449.998208,3939.399478
great,2.050242,717.895737,1447.499217,3909.217438,4247.542988
great,2.056492,722.568029,1482.954187,2301.765905,3873.682828
great,2.062742,778.027379,1480.348581,2725.26996,3869.740045
great,2.068992,737.446014,1483.3197,2658.087115,3888.168598
great,2.075242,958.948712,1455.953968,2365.00488,3984.603174
great,2.081492,1115.429567,1623.20327,2526.331526,3974.186472
great,2.087742,1253.199013,1471.10825,2388.400689,3949.986889
great,2.093992,1291.939626,2218.299092,3809.560133,4440.992121
great,2.100242,1239.733852,2384.138686,3849.758451,4479.359723
great,2.106492,387.751651,1230.059792,2471.580754,3981.510089
great,2.112742,428.060361,1248.75516,2431.872453,4163.417583
great,2.118992,438.630667,1230.89525,2348.087293,3953.999552
great,2.125242,453.620506,1238.654856,2379.848133,3945.454352
great,2.131492,466.975057,1274.778655,2406.134338,3917.22478
great,2.137742,466.547438,1280.193198,2373.827231,3926.166652
great,2.143992,480.612335,1339.35307,2400.700186,3854.909807
great,2.150242,486.589787,1412.081498,2426.037754,3314.89327
great,2.156492,474.597722,1403.337507,2419.733473,3289.361824
great,2.162742,469.414411,1442.059881,2353.166545,3550.326501
great,2.168992,464.732477,1509.655768,2254.778094,3615.083536
great,2.175242,457.50504,1558.095961,2180.534277,3590.134983
great,2.181492,444.762806,1636.831354,2144.399516,3501.357321
great,2.187742,439.58175,1688.825072,2200.695925,3478.164754
great,2.193992,431.242567,1779.456589,2315.218629,3450.580042
great,2.200242,412.100572,1845.347881,2459.347184,3422.015869
great,2.206492,384.572216,1855.251795,2602.347362,3462.394666
great,2.212742,368.708704,1855.009501,2705.384122,3513.930383
great,2.218992,360.634458,1872.256477,2800.79286,3530.546566
great,2.225242,361.488766,1895.571931,2887.46094,3557.243137
great,2.231492,351.204076,1905.411603,2927.580068,3561.051578
great,2.237742,353.541906,1904.840542,2985.082921,3599.041648
great,2.243992,335.833736,1901.598951,2973.705939,3590.115337
great,2.250242,326.470805,1906.553823,2969.827102,3558.309683
great,2.256492,358.716443,1901.447555,3025.871526,3594.502788
great,2.262742,329.051937,1883.362626,3160.207584,3586.632391
great,2.268992,337.984438,1902.857762,3138.556931,3430.086314
great,2.275242,310.991367,1937.942877,3144.688174,3479.831251
